Category,skill_count,mean_baseline,mean_llm_genericity_risk,mean_llm_ambiguity_risk,mean_llm_semantic_confusion,mean_llm_squatting_risk,mean_llm_overall_risk,mean_llm_composite
Health and Fitness,61,0.44416926731518946,3.0,1.0655737704918034,2.0,2.7540983606557377,3.6065573770491803,3.6065573770491803
Sports,47,0.5257855858227757,3.0,0.9787234042553191,1.9787234042553192,2.978723404255319,3.5319148936170213,3.5319148936170213
Education & Reference,56,0.5770007007860137,3.107142857142857,0.9285714285714286,2.0357142857142856,3.142857142857143,3.482142857142857,3.482142857142857
Game and Trivia,56,0.5728789025187988,3.0714285714285716,1.0178571428571428,2.017857142857143,3.25,3.4464285714285716,3.4464285714285716
Kids,52,0.5572559466996563,3.076923076923077,0.9615384615384616,2.0384615384615383,3.0384615384615383,3.4038461538461537,3.4038461538461537
Novelty and Humor,56,0.5758387866138059,3.107142857142857,1.0892857142857142,1.9285714285714286,3.392857142857143,3.392857142857143,3.392857142857143
weather,52,0.4278086183241104,3.0,1.0,2.0,3.1923076923076925,3.3846153846153846,3.3846153846153846
productivity,49,0.5081846278702687,3.122448979591837,1.0408163265306123,2.0,3.4489795918367347,3.326530612244898,3.326530612244898
News,46,0.4595706602363624,3.0869565217391304,0.9565217391304348,1.9565217391304348,3.369565217391304,3.3260869565217392,3.3260869565217392
Travel and Transportation,52,0.42205660194006095,3.0384615384615383,1.0192307692307692,1.9807692307692308,3.423076923076923,3.3076923076923075,3.3076923076923075
Communication,66,0.41998364903893004,3.1515151515151514,1.2121212121212122,1.9696969696969697,3.696969696969697,3.303030303030303,3.303030303030303
Music and Audio,54,0.4522582684028859,3.074074074074074,1.0,2.0,3.5555555555555554,3.2962962962962963,3.2962962962962963
Home services,53,0.39661464531344715,3.150943396226415,1.0377358490566038,2.0377358490566038,3.811320754716981,3.2641509433962264,3.2641509433962264
Movie and TV,46,0.5073375931072596,3.0869565217391304,0.9565217391304348,2.0434782608695654,3.4347826086956523,3.260869565217391,3.260869565217391
Lifestyle,48,0.5097514181712532,3.0,1.0,2.0,3.5833333333333335,3.2291666666666665,3.2291666666666665
Local,54,0.4275778747775495,3.0,0.9814814814814815,1.9814814814814814,3.611111111111111,3.2222222222222223,3.2222222222222223
Food and Drink,46,0.4875001006955364,3.0434782608695654,1.0217391304347827,1.9782608695652173,3.4347826086956523,3.217391304347826,3.217391304347826
Social,51,0.48133026826861447,3.196078431372549,1.0980392156862746,2.0588235294117645,3.843137254901961,3.215686274509804,3.215686274509804
Utilities,58,0.3979376343175287,3.0,1.1379310344827587,1.9827586206896552,3.8275862068965516,3.206896551724138,3.206896551724138
Connected_car,49,0.38523405499482744,3.0408163265306123,1.1428571428571428,1.9795918367346939,3.9183673469387754,3.163265306122449,3.163265306122449
Business & Finance,69,0.42496243363587227,3.0579710144927534,1.0289855072463767,1.9710144927536233,3.7971014492753623,3.1594202898550723,3.1594202898550723
Smart Home,63,0.4024425553469742,3.0952380952380953,1.0158730158730158,2.015873015873016,3.8095238095238093,3.1587301587301586,3.1587301587301586
Shopping,63,0.3403444777086821,3.0634920634920637,1.0317460317460319,2.0317460317460316,3.873015873015873,3.126984126984127,3.126984126984127
