Skill Name,Invocation Name,Category,baseline_risk_score,baseline_population_tier,llm_genericity_risk,llm_ambiguity_risk,llm_semantic_confusion_risk,llm_squatting_risk,llm_overall_risk,llm_reasoning
Cricket Facts,cricket facts,Business & Finance,0.8347192633342811,Q4 high,1,0,1,1,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there is little ambiguity in its meaning. The risk of semantic confusion is minimal, as this skill is unlikely to be confused with other skills. Squatting potential is also low, as it would require significant effort to create a malicious variant that sounds similar."
bitcoin facts,crypto facts,Business & Finance,0.7434631141360742,Q4 high,1,0,1,1,2,"The invocation name 'crypto facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is minimal, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to imitate or exploit this name. Overall, while there are some risks present, they are relatively low."
Chore chart,chore chart,Business & Finance,0.6566809471569225,Q4 high,1,0,1,1,2,"The invocation name 'chore chart' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or abbreviating the name, it's not extremely generic or common. The risk of semantic confusion is low, as this skill is in the Business & Finance category and has a unique description. Squatting potential is also low, as the name doesn't seem easily imitable with malicious variants. Overall, while there are some minor risks, they are manageable."
AI NVR Integration Test,my assistant,Business & Finance,0.6437715728879194,Q4 high,1,0,3,2,3,"The invocation name 'my assistant' is mostly distinctive, but not extremely unique. There's little ambiguity in the meaning of this phrase. However, there's a moderate risk of semantic confusion with other skills that have similar names or descriptions. Squatting potential is low due to the specificity of the name. Overall, while there are some risks, they're manageable and don't pose a severe threat."
Cryptocurrency,crypto currency,Business & Finance,0.639859455360197,Q4 high,3,1,2,2,2,"The invocation name 'crypto currency' is moderately generic, as it's a common phrase used in the cryptocurrency space. However, it's not extremely broad or everyday-like. The ambiguity risk is low because the phrase is specific to the topic of cryptocurrencies. Semantic confusion risk is moderate because users may mispronounce or paraphrase the name, but it's unlikely to be confused with other skills. Squatting risk is also moderate because an attacker could create a malicious skill with a similar-sounding invocation name."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,1,0,1,1,2,"The invocation name 'crypto currency' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine some minor confusion with other skills, the risk is low due to its specificity. Squatting potential is also very low, as the name is not easily imitable or exploitable."
Crypto Rates,crypto currency,Business & Finance,0.639859455360197,Q4 high,5,4,3,4,4,"The invocation name 'crypto currency' is extremely generic and broad, making it easy to mispronounce or paraphrase. The ambiguity risk is high due to the multiple meanings of 'currency'. There is moderate semantic confusion potential with other skills that may have similar names. Squatting risk is high as an attacker could easily create a malicious skill with a similar name. Overall, there is a high risk of security and usability issues."
crypto,crypto currency,Business & Finance,0.639859455360197,Q4 high,3,2,2,3,3,"The invocation name 'crypto currency' is moderately generic, as it's a common phrase used in everyday conversation. There is minor ambiguity, as the user may not specify which type of cryptocurrency they're referring to (e.g., Bitcoin). The semantic confusion risk is moderate, as users may confuse this skill with other finance-related skills. Squatting potential is moderate, as an attacker could create a malicious variant like 'crypto currencies' or 'cryptocurrency info'. Overall, the risk is moderate due to these factors."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,3,1,2,2,2,"The invocation name 'crypto currency' is moderately generic, as it's a common phrase used in the context of digital currencies. However, it's not extremely broad or everyday-like. The ambiguity risk is low because the phrase is specific to cryptocurrencies and unlikely to be confused with other topics. Semantic confusion risk is moderate because users may mispronounce or paraphrase the name, but it's still distinct enough to avoid significant confusion. Squatting risk is also moderate because an attacker could create a malicious skill with a similar-sounding name, but it would require some effort and creativity."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,3,1,2,2,2,"The invocation name 'crypto currency' is moderately generic, as it's a common phrase used in the finance industry. However, it's not extremely broad or everyday, which reduces its ambiguity and semantic confusion risks. The squatting risk is low because it's not an easily imitable or exploitable phrase. Overall, this skill has a moderate risk profile."
CryptoPrice,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,2,"The invocation name 'crypto price' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low, as this skill is categorized under Business & Finance. Squatting potential is also very low, as the name doesn't seem easily imitable with malicious variants. Overall, the risk is moderate due to the possibility of minor misinterpretation."
Crypto Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,3,1,2,2,2,"The invocation name 'crypto price' is moderately generic, as it's a common phrase used in the finance and technology industries. However, it's not extremely broad or everyday, which reduces its ambiguity risk. The semantic confusion risk is moderate because users may mispronounce or paraphrase the name, but it's still distinct enough to avoid significant confusion with other skills. Squatting risk is low due to the specificity of the phrase and the fact that it's a niche topic. Overall, the risk is moderate due to the potential for minor ambiguity and semantic confusion."
Crypto_Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,1,0,1,1,2,"The invocation name 'crypto price' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to come up with a malicious variant that sounds similar. Overall, while there are some risks present, they are relatively low."
