Skill Name,Invocation Name,Category,baseline_risk_score,llm_composite,llm_reasoning
cricket,cricket facts,Movie and TV,0.8347042780026496,3,"The invocation name 'cricket facts' is moderately generic, as it's a common topic. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another with a similar name. The squatting risk is high because an attacker could easily create a malicious variant like 'cricket stats' or 'cricket news'. Overall, while not extremely risky, this invocation name requires some caution."
Science Facts,science facts,Kids,0.8196110848879561,3,"The invocation name 'science facts' is somewhat generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another science-related skill. Squatting risk is also moderate, as an attacker could create a similar-sounding name like 'sci facts' or 'science fact'. Overall, while not extremely high-risk, this invocation name requires some caution."
science info,science facts,Education & Reference,0.8196110848879561,3,"The invocation name 'science facts' is somewhat generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no obvious alternative meanings. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another science-related skill. Squatting risk is high because an attacker could easily create a malicious variant like 'sciency facts' or 'sciences factoid'. Overall, while not extremely high-risk, this invocation name requires some caution."
science facts,science facts,Game and Trivia,0.8196110848879561,3,"The invocation name 'science facts' is moderately generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is high because an attacker could easily create a malicious variant like 'sciency facts' or 'sciences fact'. Overall, the risk is moderate due to the combination of these factors."
Sci Facts,science facts,Game and Trivia,0.8196110848879561,3,"The invocation name 'science facts' is somewhat generic, as it's a common phrase used in various contexts. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another science-related skill. The squatting risk is high because an attacker could easily create a malicious variant like 'sciency facts' or 'scifacts'. Overall, while not extremely high-risk, this invocation name requires some caution."
Facto,science facts,Education & Reference,0.8196110848879561,3,"The invocation name 'science facts' is somewhat generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another education-related skill. The squatting risk is high because an attacker could easily create a malicious variant like 'sciency facts' or 'scifacts'. Overall, while not extremely high-risk, this invocation name requires some caution."
Food Fact,food facts,Kids,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it's a common phrase used in everyday conversation. While it's not ambiguous, it could be misinterpreted or paraphrased by users. The risk of semantic confusion is moderate, as there might be other skills with similar names. The squatting risk is high due to the simplicity and recognizability of the name."
Food Facts,food facts,Food and Drink,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it could apply to various skills or topics related to food. However, the ambiguity risk is low since there's no room for misinterpretation. The semantic confusion risk is moderate due to the possibility of users confusing this skill with others that share similar names. Squatting risk is also moderate, as an attacker might create a malicious variant like 'foodfact' or 'foodfactsdotcom'. Overall, while not extremely high-risk, this invocation name requires some caution."
Food Facts,food facts,Food and Drink,0.816545711999525,3,"The invocation name 'food facts' is moderately generic, as it's a common phrase used in everyday conversation. There is low ambiguity risk, as the meaning of the skill is straightforward. However, there is moderate semantic confusion risk due to the similarity with other skills that might be related to food or facts. The squatting risk is high, as an attacker could easily create a malicious variant like 'foodfact' or 'foodfactsdotcom'. Overall, while not extremely risky, this invocation name requires some caution."
Food Fact,food facts,Game and Trivia,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it's a common phrase used in everyday conversation. While it's not ambiguous, it could be misinterpreted as a request for general information about food rather than a specific skill. The risk of semantic confusion is moderate, as users may accidentally invoke this skill instead of another similar-sounding one. Finally, the squatting risk is high due to the simplicity and commonality of the name."
Fooodiee,food facts,Education & Reference,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is high because an attacker could easily create a malicious variant like 'foodfactz' or 'foofacts'. Overall, while not extremely high-risk, this invocation name requires some caution."
food facts,food facts,Education & Reference,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it could apply to various skills or topics. However, the ambiguity risk is low since the meaning is straightforward. The semantic confusion risk is moderate due to the possibility of users mistaking this skill for another with a similar name. Squatting risk is high because an attacker could easily create a malicious variant like 'foodfact' or 'foodfactsdotcom'. Overall, while not extremely risky, this invocation name requires some caution."
Food Facts,food facts,Kids,0.816545711999525,3,"The invocation name 'food facts' is somewhat generic, as it's a common phrase used in everyday conversation. While it's not ambiguous or open to multiple interpretations, it could be confused with other skills that provide similar information (e.g., trivia or educational content). The squatting risk is high due to the simplicity and familiarity of the name, making it an attractive target for malicious variants."
myAwesomeFacts,awesome facts,Novelty and Humor,0.8089293750083226,3,"The invocation name 'awesome facts' is somewhat generic, as it's a common phrase used to describe interesting or surprising information. However, the ambiguity risk is low because the phrase is not easily misinterpreted. The semantic confusion risk is moderate due to the novelty and humor category, which may lead users to confuse this skill with others in similar categories. Squatting risk is high because the name is easy to imitate or modify for malicious purposes."
Fun Facts,awesome facts,Kids,0.8089293750083226,3,"The invocation name 'awesome facts' is moderately generic, as it's a common phrase used to describe interesting information. There is low ambiguity risk, as the meaning of the phrase is clear. However, there is moderate semantic confusion risk, as users may confuse this skill with other fun fact skills or similar-sounding names. The squatting risk is high, as an attacker could easily create a malicious variant like 'awesomest facts' or 'awesome stats'. Overall, while not extremely risky, this invocation name requires some caution."
Awesome Facts,awesome facts,Kids,0.8089293750083226,3,"The invocation name 'awesome facts' is somewhat generic, as it's a common phrase used to describe interesting information. There is some ambiguity risk due to the possibility of mispronunciation or paraphrasing. The semantic confusion risk is moderate because there might be other skills with similar names, and squatting risk is high due to the ease of creating malicious variants."
Cat Facts,cat facts,Novelty and Humor,0.7947893695313819,3,"The invocation name 'cat facts' is somewhat generic, as it's a common phrase used in everyday conversation. However, the ambiguity risk is low since there are no multiple plausible meanings or interpretations. The semantic confusion risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is also moderate, as an attacker could create a similar-sounding skill like 'cats facts' or 'fact cats'. Overall, while not extremely high-risk, this invocation name requires some caution."
Cat Facts,cat facts,Novelty and Humor,0.7947893695313819,3,"The invocation name 'cat facts' is somewhat generic, as it's a common phrase used to describe information about cats. However, the ambiguity risk is low since there are no other plausible meanings or interpretations. The semantic confusion risk is moderate because another skill with a similar name could be confused with this one. The squatting risk is high due to the simplicity and recognizability of the name, making it easy for an attacker to create a malicious variant."
Cat Facts,cat facts,Novelty and Humor,0.7947893695313819,3,"The invocation name 'cat facts' is moderately generic, as it's a common phrase used to describe information about cats. There is low ambiguity risk, as the meaning of the phrase is clear. However, there is moderate semantic confusion risk, as users may confuse this skill with other cat-related skills or services. The squatting risk is high, as an attacker could easily create a malicious variant like 'cats facts' or 'fact cat'. Overall, while not extremely risky, this invocation name requires some caution."
Cat Facts,cat facts,Novelty and Humor,0.7947893695313819,3,"The invocation name 'cat facts' is moderately generic, as it's a common phrase used in everyday conversation. There is low ambiguity risk, as the meaning of the skill is straightforward. However, there is moderate semantic confusion risk due to the similarity with other skills that provide factual information. The squatting risk is high, as an attacker could easily create a malicious skill with a similar name."
Cat Facts,cat facts,Social,0.7947893695313819,3,"The invocation name 'cat facts' is moderately generic, as it's a common phrase used to describe information about cats. There is low ambiguity risk, as the meaning of the phrase is clear. However, there is moderate semantic confusion risk, as users may confuse this skill with other cat-related skills or topics. The squatting risk is high, as an attacker could easily create a malicious variant like 'cats facts' or 'factscat'. Overall, while not extremely risky, this invocation name requires some caution."
Cat Facts,cat facts,Novelty and Humor,0.7947893695313819,3,"The invocation name 'cat facts' is moderately generic, as it's a common phrase used to describe information about cats. There is low ambiguity risk, as the meaning of the phrase is clear. However, there is moderate semantic confusion risk, as users may confuse this skill with other cat-related skills or services. The squatting risk is high, as an attacker could easily create a malicious variant like 'cats facts' or 'factscat'. Overall, while not extremely risky, this invocation name requires some caution."
