Skill Name,Invocation Name,Category,baseline_risk_score,llm_composite,llm_reasoning
MachineLearningRecommender,machine learning recommender,Business & Finance,0.2720440208881127,4,"The invocation name 'machine learning recommender' is quite generic and could easily be confused with other skills related to machine learning or recommendations. Its length and common terminology increase the likelihood of mispronunciation or abbreviation by users. Additionally, the name is highly susceptible to squatting, as attackers could create similar-sounding skills to exploit user confusion."
Mastermind - AI Assistant for Software Dev Teams,mastermind,Business & Finance,0.2538006758114288,4,"The invocation name 'mastermind' is quite generic and commonly used in various contexts, leading to a high genericity risk. It may also be interpreted in multiple ways, contributing to ambiguity. Additionally, the name could easily be confused with other skills or services, and its commonality makes it susceptible to imitation or malicious variants, resulting in a high squatting risk."
Blockchain Ticker,block chain ticker,Business & Finance,0.2199839659658071,4,"The invocation name 'block chain ticker' is quite generic and could easily be confused with other financial or cryptocurrency-related skills. Its common terminology increases the risk of mispronunciation and ambiguity. Additionally, the name is susceptible to squatting, as attackers could create similar-sounding skills to exploit users. Overall, the combination of these factors leads to a high overall risk rating."
Voice Pages of Buy Sell Homes,voice pages of buy sale homes,Business & Finance,0.198121699874061,4,"The invocation name 'voice pages of buy sale homes' is quite generic and could easily be confused with other real estate or voice technology services. Its length and complexity increase the likelihood of mispronunciation or abbreviation, leading to ambiguity. Additionally, the name is susceptible to squatting, as it can be easily imitated or altered by malicious actors looking to exploit similar-sounding names."
How to Say I Love You,how to say i love you,Communication,0.2711449360418648,4,"The invocation name 'how to say i love you' is quite generic and could be easily confused with other similar skills or phrases, leading to a higher genericity and semantic confusion risk. Additionally, the name's commonality makes it susceptible to squatting, where malicious actors could create similar-sounding skills. The ambiguity risk is moderate, as users may mispronounce or paraphrase the invocation, but the overall risk remains high due to these factors."
who is prime minister of india?,who is prime minister of india,Communication,0.2471144093055542,4,"The invocation name is highly generic and directly related to a well-known public figure, increasing the risk of imitation and confusion with similar skills. While it has a specific context, the phrasing is common enough that users might mispronounce or paraphrase it, leading to ambiguity. Additionally, the straightforward nature of the name makes it easy for malicious actors to create similar-sounding variants."
Dance Ability,show me your dance moves,Communication,0.1865573855359185,4,"The invocation name 'show me your dance moves' is quite generic and could easily be mispronounced or paraphrased, leading to high genericity and ambiguity risks. Additionally, the name is similar to common phrases, making it susceptible to semantic confusion with other skills. The ease of creating similar-sounding names poses a significant squatting risk, as attackers could easily imitate or create malicious variants."
Speak Clearly Warmups,speak clearly warmups,Communication,0.1460305823140805,4,"The invocation name 'speak clearly warmups' is quite generic, making it susceptible to confusion with other similar skills focused on speech improvement. While it has a specific purpose, the commonality of the terms used increases the risk of mispronunciation and imitation by malicious actors. Additionally, the lack of existing ratings suggests it may not be well-known, further increasing squatting risks."
Browse Contacts on Devices with Screens,browse contacts on devices with screens,Communication,0.1425047018918076,4,"The invocation name 'browse contacts on devices with screens' is quite generic and could be easily mispronounced or paraphrased, leading to confusion. Additionally, the name is long and may be confused with other skills related to contact management or communication. The risk of squatting is high due to its common phrasing, making it easy for attackers to create similar-sounding names."
Leeds Parking Spaces,leeds parking,Connected_car,0.281288673464926,4,"The invocation name 'leeds parking' is quite generic, making it susceptible to confusion with other parking-related skills or services. While it has some ambiguity, it is primarily focused on Leeds, which reduces this risk slightly. However, the simplicity of the name increases the likelihood of imitation or malicious variants, contributing to a high overall risk."
Assurant Pocket Drive,pocket drive,Connected_car,0.2744995805597765,4,"The invocation name 'pocket drive' is quite generic and could easily be confused with other similar services or products, leading to high genericity and squatting risks. Additionally, the name may be mispronounced or abbreviated, contributing to ambiguity and semantic confusion. Overall, the combination of these factors results in a high overall risk for this skill."
Testing year,testing year,Connected_car,0.2660403310303719,4,"The invocation name 'testing year' is quite generic, making it susceptible to confusion with other skills or commands related to testing or time. Its simplicity increases the likelihood of mispronunciation or abbreviation by users. Additionally, the name can be easily imitated by malicious actors, raising squatting risks. Overall, the combination of these factors leads to a high overall risk assessment."
multinational conglomerate company facts,multinational conglomerate company facts,Connected_car,0.2470273505898408,4,"The invocation name 'multinational conglomerate company facts' is highly generic and could easily be confused with other skills that provide similar information. Its length and complexity increase the likelihood of mispronunciation or abbreviation by users. Additionally, the name is straightforward enough that attackers could create similar-sounding variants, making it susceptible to squatting risks."
Woodstock Restaurants,woodstock restaurants,Food and Drink,0.2757690418386139,4,"The invocation name 'woodstock restaurants' is quite generic, as it combines a location with a common service, leading to a high genericity risk. There is some ambiguity since 'Woodstock' could refer to multiple places, but it is primarily associated with Woodstock, Georgia. The name could be confused with other food-related skills, and its simplicity makes it easy for attackers to create similar-sounding variants, increasing the squatting risk."
Information for Cutting and Knife terms,knife terms,Food and Drink,0.2681929933094771,4,"The invocation name 'knife terms' is quite generic, making it susceptible to confusion with other skills related to cooking or kitchen tools. Additionally, the name could be mispronounced or abbreviated, leading to ambiguity. The simplicity of the name also increases the risk of imitation by malicious actors, as it is easy to create similar-sounding names. Overall, these factors contribute to a high risk profile for this skill."
What's Your Pizza Personality?,what type of pizza,Food and Drink,0.2495115788319548,4,"The invocation name 'what type of pizza' is quite generic, making it susceptible to mispronunciation and confusion with other pizza-related skills. Its common phrasing increases the likelihood of semantic confusion with similar skills. Additionally, the simplicity of the name makes it easy for attackers to create similar-sounding variants, raising squatting risks."
Don't waste food,don't waste food,Food and Drink,0.2320267441784867,4,"The invocation name 'don't waste food' is quite generic and could easily be confused with other food-related skills, leading to a high genericity risk. While it has some ambiguity, the primary concern lies in its similarity to potential malicious variants or imitations, which could mislead users. The overall risk is elevated due to the potential for confusion and the ease with which attackers could create similar-sounding names."
Dive into the World of Trivia,dive into the world of trivia,Game and Trivia,0.2404018183451642,4,"The invocation name 'dive into the world of trivia' is quite generic and lengthy, making it prone to mispronunciation and abbreviation. Its similarity to other trivia-related skills increases the risk of semantic confusion. Additionally, the name's length and common words make it easy for attackers to create similar-sounding variants, leading to a high squatting risk. Overall, these factors contribute to a significant overall risk assessment."
Ramada Hotel & Suites 1575W,citadel f. m. ramada hotel suites,Game and Trivia,0.2132298543415964,4,"The invocation name 'citadel f. m. ramada hotel suites' contains generic terms like 'hotel' and 'suites', which increases its genericity risk. The name is somewhat ambiguous due to the potential for mispronunciation or abbreviation. It could easily be confused with other skills related to hotels or radio stations. Additionally, the complexity of the name makes it susceptible to squatting, as attackers could create similar-sounding names to exploit users."
Microsoft Excel shortcuts unofficial,excel shortcuts unofficial,Game and Trivia,0.21184053376188,4,"The invocation name 'excel shortcuts unofficial' is quite generic, making it susceptible to confusion with other skills related to Excel or shortcuts. Its length and phrasing could lead to mispronunciation or paraphrasing by users, increasing ambiguity. Additionally, the name is easy to imitate, posing a high squatting risk for malicious actors looking to exploit similar-sounding names."
MyFitnessPal Lite,my fitness pal,Health and Fitness,0.2633814687867465,4,"The invocation name 'my fitness pal' is quite generic and could easily be confused with other health and fitness-related skills, increasing its genericity and semantic confusion risks. Additionally, the name's common phrasing makes it susceptible to squatting, as attackers could create similar-sounding skills. The ambiguity risk is moderate due to potential misinterpretations or variations in pronunciation."
Back Pain Tips,back pain tips,Health and Fitness,0.2397930263471185,4,"The invocation name 'back pain tips' is quite generic, making it susceptible to confusion with other health-related skills. While it has a specific focus, the commonality of the terms increases the risk of mispronunciation and imitation by malicious actors. Additionally, the average rating suggests that users may not find it distinct or memorable, further contributing to the overall risk."
My Weight Loss Coach,my weight loss coach,Health and Fitness,0.2359696832175896,4,"The invocation name 'my weight loss coach' is quite generic and could easily be confused with other health and fitness skills, leading to high genericity and squatting risks. Additionally, users may mispronounce or abbreviate the name, contributing to ambiguity and semantic confusion. Overall, the combination of these factors results in a significant risk profile for this skill."
Power Saving Tips,power saving tips,Home services,0.2685149656151741,4,"The invocation name 'power saving tips' is quite generic, making it susceptible to confusion with other similar services or skills. While it has a specific focus, the commonality of the terms used increases the likelihood of mispronunciation and misinterpretation. Additionally, the straightforward nature of the name makes it easy for attackers to create similar-sounding variants, raising squatting concerns."
