Skill Name,Invocation Name,Category,baseline_risk_score,baseline_population_tier,llm_genericity_risk,llm_ambiguity_risk,llm_semantic_confusion_risk,llm_squatting_risk,llm_overall_risk,llm_reasoning
Cricket Facts,cricket facts,Business & Finance,0.8347192633342811,Q4 high,4,2,3,4,4,"The invocation name 'cricket facts' is quite generic, making it susceptible to confusion with other skills or content related to cricket. While it has some ambiguity, it is primarily straightforward. However, the ease of imitation and potential for malicious variants is high, especially given the commonality of the terms used."
bitcoin facts,crypto facts,Business & Finance,0.7434631141360742,Q4 high,4,3,4,5,4,"The invocation name 'crypto facts' is quite generic and could easily be confused with other skills related to cryptocurrency, leading to high semantic confusion risk. Additionally, the name's commonality makes it susceptible to squatting, as attackers could create similar-sounding skills. The ambiguity risk is moderate due to potential misinterpretations, but overall, the combination of these factors results in a high overall risk rating."
Chore chart,chore chart,Business & Finance,0.6566809471569225,Q4 high,4,3,3,4,4,"The invocation name 'chore chart' is quite generic and could easily be confused with other similar skills related to chores or task management. Its common phrasing increases the likelihood of mispronunciation or abbreviation by users. Additionally, the simplicity of the name makes it susceptible to imitation by malicious actors, raising the squatting risk significantly."
AI NVR Integration Test,my assistant,Business & Finance,0.6437715728879194,Q4 high,4,3,4,5,4,"The invocation name 'my assistant' is highly generic and could easily be confused with other skills or assistants, leading to significant semantic confusion. Its commonality increases the risk of mispronunciation and ambiguity in user requests. Additionally, the name is simple enough for attackers to create similar-sounding variants, raising the squatting risk considerably."
Cryptocurrency,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,4,5,4,"The invocation name 'crypto currency' is highly generic, making it susceptible to confusion with other financial-related skills. Its common phrasing increases the likelihood of mispronunciation or abbreviation by users. Additionally, the name is easy to imitate, allowing for potential malicious variants that could mislead users. Overall, these factors contribute to a high risk profile for this skill."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,3,4,4,"The invocation name 'crypto currency' is quite generic and could easily be confused with other financial skills or services. Its common terminology increases the likelihood of mispronunciation and ambiguity. Additionally, the simplicity of the name makes it susceptible to squatting by malicious actors creating similar-sounding skills. Overall, these factors contribute to a high overall risk rating."
Crypto Rates,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,4,5,4,"The invocation name 'crypto currency' is highly generic and could easily be confused with other skills related to cryptocurrencies. Its common terminology increases the likelihood of mispronunciation and ambiguity in user requests. Additionally, the name is susceptible to squatting, as attackers could create similar-sounding skills to exploit users. Overall, the combination of these factors presents a significant risk."
crypto,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,4,5,4,"The invocation name 'crypto currency' is quite generic and could easily be confused with other financial-related skills, leading to high semantic confusion risk. Additionally, the name is susceptible to squatting, as attackers could create similar-sounding names to exploit users. The ambiguity risk is moderate due to potential mispronunciations or variations in how users might refer to cryptocurrencies."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,4,5,4,"The invocation name 'crypto currency' is highly generic and could easily be confused with other skills related to finance or cryptocurrencies. Its common terminology increases the likelihood of mispronunciation and ambiguity in user requests. Additionally, the simplicity of the name makes it susceptible to imitation by malicious actors, raising the squatting risk significantly."
Crypto Currency,crypto currency,Business & Finance,0.639859455360197,Q4 high,4,3,4,5,4,"The invocation name 'crypto currency' is quite generic and could easily be confused with other financial skills or services, leading to high semantic confusion and squatting risks. Users may mispronounce or abbreviate the name, increasing ambiguity. Additionally, the commonality of the term makes it susceptible to imitation by malicious actors."
CryptoPrice,crypto price,Business & Finance,0.6281464450488385,Q4 high,4,3,4,5,4,"The invocation name 'crypto price' is quite generic, making it susceptible to confusion with other skills related to cryptocurrency. It could be mispronounced or abbreviated, leading to ambiguity. Additionally, the simplicity of the name makes it easy for attackers to create similar-sounding variants, increasing the squatting risk. Overall, the combination of these factors results in a high overall risk rating."
Crypto Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,4,3,4,5,4,"The invocation name 'crypto price' is highly generic, making it common and easily confused with other similar skills. It has a moderate level of ambiguity as users may interpret it in various ways, and it could be confused with other financial skills. The name is also very easy to imitate, increasing the risk of malicious variants or squatting by attackers."
Crypto_Price,crypto price,Business & Finance,0.6281464450488385,Q4 high,4,3,4,5,4,"The invocation name 'crypto price' is quite generic and could easily be confused with other skills related to cryptocurrency. Its common phrasing increases the likelihood of mispronunciation or misinterpretation by users. Additionally, the simplicity of the name makes it susceptible to imitation by malicious actors, raising the squatting risk significantly."
CryptoPrice,crypto price,Business & Finance,0.6281464450488385,Q4 high,4,3,3,4,4,"The invocation name 'crypto price' is quite generic, making it susceptible to confusion with other similar skills. It could be mispronounced or abbreviated, leading to ambiguity. Additionally, the simplicity of the name allows for easy imitation by malicious actors, increasing the squatting risk. Overall, the combination of these factors results in a high overall risk rating."
