Skill Name,Invocation Name,Category,baseline_risk_score,llm_composite,llm_reasoning
cricket facts,cricket facts,Sports,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it unlikely to be confused with other skills. The phrase has a clear meaning and is not easily ambiguous or open to multiple interpretations. It's also difficult to imitate or exploit, as the name is specific and doesn't lend itself well to malicious variants."
Cricket Facts,cricket facts,Sports,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when expecting a different one."
Cricket Facts,cricket facts,Sports,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when asking for general facts."
Cricket Facts,cricket facts,Sports,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when asking for general facts."
Cricket Facts,cricket facts,Sports,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when expecting a different one."
Cricket Facts,cricket facts,Sports,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it unlikely to be confused with other skills. The phrase is also very specific and lacks ambiguity, reducing the risk of semantic confusion or squatting attacks."
Amazing Cricket Facts,cricket facts,Sports,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill instead of another."
Cricket Facts,cricket facts,Sports,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it difficult for users to mispronounce or paraphrase. The phrase has a clear meaning and is unlikely to be confused with other skills. Additionally, the risk of squatting is low due to the specificity of the name."
Cricket_Facts,cricket facts,Game and Trivia,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible that users might mispronounce or abbreviate the name, it's unlikely to be confused with other skills. The risk of squatting is also low due to the specificity of the name. Overall, the risk is moderate, as while there are some potential issues, they are not severe."
Tykoon's cricket facts,cricket facts,Education & Reference,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible that users may mispronounce or paraphrase the name, it's unlikely to be confused with other skills. The risk of squatting is low due to the specificity of the name. Overall, the risk is moderate, as while there are some potential risks, they are not severe."
cricket facts,cricket facts,Game and Trivia,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it unlikely to be confused with other skills. The phrase has a clear meaning and is not easily ambiguous or open to multiple interpretations. It's also difficult to imitate or exploit, reducing the squatting risk."
cricket facts,cricket facts,Game and Trivia,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The phrase has a clear meaning and is not easily ambiguous. It's also unlikely to be confused with other skills or imitated by malicious variants."
Best Cricket Skills,cricket facts,Game and Trivia,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting is low due to the specificity of the name. Overall, the risk is moderate, as while there are some potential risks, they are relatively low."
Cricket Facts,cricket facts,Game and Trivia,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is minimal, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to imitate or exploit this name. Overall, while there are some risks present, they are relatively low."
cricket facts,cricket facts,Game and Trivia,0.8347192633342811,1,"The invocation name 'cricket facts' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The phrase has a clear meaning and is unlikely to be confused with other skills. Squatting on this name would require significant effort to create a malicious variant that sounds similar."
Cricket facts,cricket facts,Game and Trivia,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there are no obvious ambiguities or semantic confusions. The risk of squatting is low due to the specificity of the name. Overall, this skill has a moderate risk profile."
Cricket Facts,cricket facts,Game and Trivia,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or abbreviating the name, it's not extremely generic or common. The risk of semantic confusion is low, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to imitate or exploit this invocation name. Overall, while there are some risks present, they are relatively low."
cricket,cricket facts,Movie and TV,0.8347192633342811,1,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. It's unlikely to be confused with other skills or imitated maliciously. The overall risk is very low due to the unique combination of words."
Cricket Facts,cricket facts,Movie and TV,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, this skill invocation name poses a moderate risk."
Cricket Facts,cricket facts,Education & Reference,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of squatting or semantic confusion is low due to the specificity of the topic. Overall, the risk is moderate, as users may still accidentally invoke this skill when expecting a different one."
CricketMania,cricket facts,Education & Reference,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible that users may mispronounce or paraphrase the name, it's unlikely to be confused with other skills. The risk of squatting is low due to the specificity of the topic. Overall, the risk is moderate, as while there are some potential risks, they are not severe."
Cricket Facts,cricket facts,Business & Finance,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there is little ambiguity in its meaning. The risk of semantic confusion is minimal, as this skill is unlikely to be confused with other skills. Squatting potential is also low, as it would require significant effort to create a malicious variant that sounds similar."
Cricket Facts,cricket facts,News,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low due to the specificity of the topic. Squatting potential is also low since the name doesn't seem easily imitable or exploitable. Overall, the risk is moderate, with a focus on user education and awareness."
cricket Facts,cricket facts,News,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to imitate or exploit this name. Overall, while there are some risks present, they are relatively low."
Cricket Facts,cricket facts,Kids,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low, as there are few skills that would be confused with this one. Squatting potential is also low, as it's difficult to imitate or exploit this name. Overall, while there are some risks present, they are relatively low."
Cricket Facts,cricket facts,Education & Reference,0.8347192633342811,2,"The invocation name 'cricket facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or paraphrasing the name, it's not extremely generic or common. The risk of semantic confusion is low, as this skill is likely to be one of few related to cricket. Squatting potential is also low, as it would require a malicious actor to create a similar-sounding but unrelated skill. Overall, while there are some risks, they are relatively low."
Science Facts,science facts,Education & Reference,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the broad topic of science. The squatting risk is low as well, since the name does not seem easily imitable or exploitable. Overall, while there are some risks present, they are relatively low."
science info,science facts,Education & Reference,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, with a clear meaning and no obvious ambiguity. While it's possible that users might mispronounce or abbreviate the name, it's unlikely to be confused with other skills or imitated maliciously. The overall risk is moderate due to the potential for minor confusion or squatting attempts."
Science Facts,science facts,Education & Reference,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there are no obvious ambiguities or semantic confusions. The risk of squatting is low due to the specificity of the name. Overall, this skill has a moderate risk profile."
Science Facts,science facts,Kids,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be mispronounced or confused with other skills. While there may be some minor ambiguity about what type of science facts are being referred to, the overall meaning is still clear. The risk of squatting is low due to the specificity of the name. Overall, this invocation name poses a moderate risk."
science facts,science facts,Education & Reference,0.8196638089637459,1,"The invocation name 'science facts' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The lack of ambiguity in the meaning also reduces the risk of semantic confusion. Additionally, the uniqueness of the name makes it challenging for attackers to create malicious variants that are similar sounding."
Science Facts,science facts,Kids,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the commonality of the phrase 'facts'. The squatting risk is low as well, since the name does not contain any easily exploitable patterns or words. Overall, while there are some risks present, they are relatively low."
Science facts,science facts,Kids,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the commonality of words like 'facts'. The squatting risk is low as well, since the name doesn't seem easily imitable or exploitable. Overall, while not negligible, the risks are relatively low."
science facts,science facts,Game and Trivia,0.8196638089637459,1,"The invocation name 'science facts' is highly distinctive and unique, making it difficult to mispronounce or confuse with other skills. The phrase has a clear meaning and is unlikely to be confused with other skills. It's also not easily imitable or exploitable for squatting attacks."
Science Facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, with a clear and specific meaning. While it's possible that users may mispronounce or abbreviate the name, there are no obvious ambiguities or semantic confusions. The risk of squatting is low due to the specificity of the name. Overall, this skill has a moderate risk profile."
science facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the broad nature of the phrase. The squatting risk is low as well, since it's not an extremely common or generic phrase. Overall, while there are some risks present, they are relatively low."
Science Facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the broad nature of the phrase. The squatting risk is low as well, since it's not an extremely common or generic phrase. Overall, while there are some risks present, they are relatively low."
Science-facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the commonality of words like 'facts'. The squatting risk is low as well, since the name doesn't seem easily imitable or exploitable. Overall, while not negligible, the risks are relatively low."
Sci Facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, with a clear meaning and minimal ambiguity. While it's possible to imagine some confusion with other skills that involve science or facts, the risk is low due to the specificity of the phrase. Squatting potential is also low since the name doesn't seem easily imitable or exploitable."
Science Facts,science facts,Game and Trivia,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the commonality of words like 'facts'. The squatting risk is low as well, since the name doesn't seem easily imitable or exploitable."
Facto,science facts,Education & Reference,0.8196638089637459,2,"The invocation name 'science facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the broad nature of the phrase. The squatting risk is low as well, since it's not an extremely common or generic phrase. Overall, while there are some risks present, they are relatively low."
food facts,food facts,Game and Trivia,0.8165623951969438,2,"The invocation name 'food facts' is mostly distinctive, making it less likely to be confused with other skills. However, there is a slight risk of semantic confusion due to the commonality of words like 'facts'. The squatting risk is low as well, since the name doesn't seem easily imitable or exploitable. Overall, while not negligible, the risks are relatively low."
Food Facts,food facts,Game and Trivia,0.8165623951969438,2,"The invocation name 'food facts' is mostly distinctive, with a clear meaning and no ambiguity. While it's possible to imagine someone mispronouncing or abbreviating the name, it's not extremely generic or common. The risk of semantic confusion is low, as this skill is likely to be one of few that deals with food-related trivia. Squatting potential is also low, as an attacker would need to create a very similar-sounding invocation name. Overall, while there are some risks present, they are relatively low."
Food facts,food facts,Game and Trivia,0.8165623951969438,2,"The invocation name 'food facts' is mostly distinctive, with a clear meaning and minimal ambiguity. While it's possible to imagine some confusion with other skills that involve food or facts, the risk is low due to the specificity of the phrase. Squatting potential is also very low, as it would be difficult for an attacker to create a malicious variant that sounds similar."
