Skill Name,Invocation Name,Category,baseline_risk_score,llm_composite,llm_reasoning
Going POSTal,going postal,Communication,0.2401431070688534,5,"The invocation name 'going postal' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple meanings, including a well-known idiomatic expression that could lead to semantic confusion with other skills. Additionally, the simplicity of the name makes it vulnerable to squatting attacks."
bug sploit hack,bug sploit hack,Kids,0.1587138233652686,5,"The invocation name 'bug sploit hack' is extremely generic and broad, making it easy to mispronounce or paraphrase. The ambiguity risk is high due to the multiple possible meanings of the words (e.g., 'bug' could refer to a software bug or an insect). The semantic confusion risk is also high because this phrase is similar to common hacking terminology, increasing the likelihood of users accidentally invoking this skill instead of another. Finally, the squatting risk is extremely high due to the ease with which malicious actors could create similar-sounding invocation names."
Roko's Basilisk,roko's basilisk,Game and Trivia,0.158696062589799,5,"The invocation name 'roko's basilisk' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a reference to a thought experiment in philosophy, which could lead to semantic confusion. Additionally, the unique combination of words makes it an attractive target for squatting attacks."
sanctumcloud,b. a. p. s. aarti,Lifestyle,0.2644324866146697,5,"The invocation name 'b. a. p. s. aarti' is extremely generic and broad, making it easy to mispronounce or paraphrase. The use of abbreviations and acronyms adds to the ambiguity, as users may not recognize the correct pronunciation. Additionally, the phrase has multiple plausible meanings, increasing the semantic confusion risk. Finally, the complexity of the name makes it an attractive target for squatting attacks."
Remind me who am I,remind me who am i,Lifestyle,0.2645970087678316,5,"The invocation name 'remind me who am i' is extremely generic and broad, making it easy to mispronounce or paraphrase. The ambiguity risk is moderate due to the possibility of users misinterpreting the intent behind the skill. The semantic confusion risk is high because this phrase could easily be confused with other skills that provide similar functionality. Finally, the squatting risk is extremely high because an attacker could easily create a malicious skill with a similar invocation name."
Ramada Hotel & Suites 1575W,citadel f. m. ramada hotel suites,Game and Trivia,0.2132298543415964,5,"The invocation name is extremely generic, as it contains common words like 'citadel', 'f', and 'm' that could be used in various contexts. The ambiguity risk is moderate because the phrase could be interpreted as a reference to a radio station or something else entirely. The semantic confusion risk is high because the name is similar to other skills or phrases, making it easy to confuse with them. Finally, the squatting risk is high because an attacker could easily create a malicious skill with a similar invocation name."
He Needs Some Milk,he needs some milk,Game and Trivia,0.1642414755656961,5,"The invocation name 'he needs some milk' is extremely generic and common, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings beyond the skill's intended purpose, increasing ambiguity risk. Additionally, the phrase is highly susceptible to squatting attacks, as an attacker could create a malicious skill with a similar invocation name. Overall, this combination of factors poses a severe security and usability risk."
Excessive Body Hair Facts,excessive body hair facts,Education & Reference,0.2722593236383019,5,"The invocation name 'excessive body hair facts' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a potential skill about excessive body hair removal methods, which could lead to semantic confusion with other skills. Additionally, the name's specificity makes it vulnerable to squatting attacks."
Subscription Addiction,subscription addiction,Shopping,0.2062607610072721,5,"The invocation name 'subscription addiction' is extremely generic and could be easily mispronounced or paraphrased. The phrase has multiple plausible meanings, including a reference to a popular TV show, which increases the ambiguity risk. Additionally, the name is moderately easy to confuse with other skills that have similar themes or keywords. Finally, the squatting potential is high due to the simplicity and broad appeal of the name."
Men Need Playtime,men need playtime,Social,0.2099575888715911,5,"The invocation name 'men need playtime' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a common human need, which increases the ambiguity risk. Additionally, the semantic confusion risk is high due to the similarity with other phrases that may be used in everyday conversations. Finally, the squatting risk is high because an attacker could easily create a malicious skill with a similar name, making it difficult for users to distinguish between the two."
PhD In Your Partner,p. h. d. your partner,Social,0.2268989114787513,5,"The invocation name 'p. h. d. your partner' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a reference to a PhD program, which could lead to semantic confusion with other skills. Additionally, the name's similarity to everyday phrases makes it vulnerable to squatting attacks."
Demotivate Me,demotivate,Novelty and Humor,0.2414896325246284,5,"The invocation name 'demotivate' is extremely generic and could be easily mispronounced or paraphrased. The ambiguity risk is moderate due to the possibility of users interpreting it as a motivational skill instead. Semantic confusion risk is high because this name could be easily confused with other skills that have similar themes. Squatting risk is also high because an attacker could create a malicious skill with a similar name, potentially causing harm or disruption. Overall, the risk is severe due to the combination of these factors."
Mindfulness and Meditation Chatbot,toxic relationship quiz,Social,0.2235888118559729,5,"The invocation name 'toxic relationship quiz' is extremely generic and common, making it easy for users to mispronounce or paraphrase. The ambiguity risk is high due to the multiple possible meanings of 'quiz', which could lead to confusion with other skills. Additionally, the squatting risk is high as an attacker could easily create a malicious skill with a similar name, exploiting the user's intent."
myCadillac,cadillac,Connected_car,0.1647639653136559,4,"The invocation name 'cadillac' is moderately generic, as it's a well-known brand. However, the ambiguity risk is low because the context of the skill (connected car) helps disambiguate the meaning. The semantic confusion risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is high because an attacker could create a malicious skill with a similar invocation name, potentially causing confusion and security issues."
OnLine with Bill Alexander,i. talk radio network,Communication,0.2735219162585924,4,"The invocation name 'i. talk radio network' is moderately generic, as it combines a common phrase ('talk radio') with a specific reference to a network. There is minor ambiguity in the meaning of 'network', which could lead to slight confusion potential. The risk of squatting is high due to the simplicity and recognizability of the name. Overall, there is a moderate to high risk that this invocation name may be misused or confused with other skills."
How to Say I Love You,how to say i love you,Communication,0.2711449360418648,4,"The invocation name 'how to say i love you' is extremely generic and broad, making it easy for users to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a skill that provides romantic phrases, which could lead to semantic confusion with other skills. Additionally, the simplicity of the name makes it vulnerable to squatting attacks."
Dance Ability,show me your dance moves,Communication,0.1865573855359185,4,"The invocation name 'show me your dance moves' is moderately generic, as it's a common phrase used in everyday conversation. There is minor ambiguity, as the phrase could be interpreted as asking Alexa to demonstrate its own dancing abilities or provide instructions on how to perform a specific dance move. The risk of semantic confusion is moderate, as users may mistake this skill for another that provides dance-related information or instruction. Squatting potential is high, as an attacker could create a malicious skill with a similar invocation name and exploit the user's expectation of receiving dance-related content."
Testing plank pushup,testing plank pushup,Sports,0.199840437096213,4,"The invocation name is extremely generic and broad, making it easy to confuse with other skills. While the ambiguity risk is low due to the specificity of the phrase, the semantic confusion risk is moderate as users may mispronounce or paraphrase the name. The squatting risk is low as the name is not easily imitable. However, the overall risk remains high due to the potential for users to confuse this skill with others."
Reassure Me,reassure me,productivity,0.2726651174064365,4,"The invocation name 'reassure me' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the ambiguity risk is low due to the clear meaning of the phrase, the semantic confusion risk is moderate as users may confuse this skill with other productivity skills that offer similar services. The squatting risk is high as attackers can easily create malicious variants by modifying the phrase slightly."
my boyfriend Derek,my boyfriend derek,productivity,0.1806808898484471,4,"The invocation name 'my boyfriend derek' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the ambiguity risk is low due to the specific context of a personal relationship, the semantic confusion risk is moderate as users may confuse this skill with other anniversary-related skills. The squatting risk is high as an attacker could easily create a malicious variant by replacing 'boyfriend' with another term. Overall, the risk is high due to the ease of exploitation and potential for user confusion."
Total Connect 2.0,honeywell,Smart Home,0.1836772181667526,4,"The invocation name 'honeywell' is somewhat generic, as Honeywell is a well-known brand in the smart home industry. However, it's not extremely common or broad, so I've scored it a moderate risk (3). The ambiguity risk is very low because the name is straightforward and easy to understand. Semantic confusion risk is slight because users may confuse this skill with other Honeywell-related skills, but it's unlikely to be confused with non-Honeywell skills. Squatting risk is high because an attacker could easily create a malicious skill with a similar invocation name, such as 'honeywell security' or 'honeywell smart home'. Overall, the risk is moderate to high due to the potential for squatting attacks."
Viral Charity Support,viral charity support,Social,0.2087204808632733,4,"The invocation name 'viral charity support' is moderately generic, as it combines a common concept (going viral) with a specific topic (charity support). There is minor ambiguity in the meaning of the phrase, but it's still clear that it's related to charitable causes. The risk of semantic confusion is moderate, as users may mispronounce or paraphrase the name. Squatting potential is high due to the broad appeal and simplicity of the phrase. Overall, while there are some risks involved, they are not severe enough to warrant a score of 5."
Dyson,dyson,Smart Home,0.1644802086679395,4,"The invocation name 'dyson' is extremely generic and broad, making it easy to confuse with other skills or everyday phrases. While the ambiguity risk is low due to the unique brand name, the semantic confusion risk is moderate as users may mispronounce or paraphrase the name. The squatting risk is high as attackers can easily create malicious variants of this invocation name."
Best Childcare Providers Las Vegas  Nevada  Nearby,best childcare providers las vegas,Social,0.1832621424587139,4,"The invocation name is moderately generic, as it includes common words like 'best' and 'childcare providers', which could lead to confusion with other skills. The ambiguity risk is moderate due to the possibility of users mispronouncing or paraphrasing the name. Semantic confusion risk is high because the name is similar to everyday phrases that might be used in conversations. Squatting risk is high because an attacker could easily create a malicious skill with a similar name, and overall risk is high due to the combination of these factors."
Surprise Your Loved One,everybody's opinion,Social,0.1945866067393778,4,"The invocation name 'everybody's opinion' is extremely generic and broad, making it easy to mispronounce or paraphrase. The phrase has multiple plausible meanings, including a common idiomatic expression, which increases ambiguity risk. While the skill description provides context, it may not be immediately clear what the skill does when invoked. Squatting potential is high due to the simplicity of the name and its broad appeal."
What's Your Excuse,what's your excuse,Music and Audio,0.2645742824352716,4,"The invocation name 'what's your excuse' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the ambiguity risk is low due to the unique context of a podcast, the semantic confusion risk is moderate as users may confuse this skill with other music or audio skills. The squatting risk is high as an attacker could easily create a malicious variant by replacing 'What's' with another phrase. Overall, the risk is high due to the ease of misinterpretation and potential for squatting."
WRNB HD-2,w. r. n. b. h. d. two,Music and Audio,0.2619925558648242,4,"The invocation name 'w. r. n. b. h. d. two' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the semantic meaning is clear, there is moderate confusion potential with other skills that may have similar names. The squatting risk is high due to the ease of imitating this name with malicious variants."
Send Me a Sample,send me a sample,Shopping,0.2190421025435337,4,"The invocation name 'send me a sample' is moderately generic, as it's not extremely unique but still distinct enough to be memorable. There is minor ambiguity in the phrase, as it could potentially refer to other services or actions. The semantic confusion risk is moderate, as users may confuse this skill with others that offer similar services. Squatting risk is high, as an attacker could easily create a malicious variant by modifying the name slightly. Overall, the risk is high due to the potential for squatting and semantic confusion."
who is prime minister of india?,who is prime minister of india,Communication,0.2471144093055542,4,"The invocation name is extremely generic and broad, making it easy to confuse with other skills or phrases. The ambiguity risk is low because the meaning of the phrase is clear. However, there is a moderate semantic confusion risk due to the possibility of users mispronouncing or paraphrasing the name. Squatting risk is high because an attacker could easily create a malicious skill with a similar invocation name."
multinational conglomerate company facts,multinational conglomerate company facts,Connected_car,0.2470273505898408,4,"The invocation name is extremely generic and broad, making it easy to confuse with other skills. The lack of ambiguity helps, but the risk of semantic confusion remains moderate due to the similar structure of other skill names. Squatting potential is high due to the simplicity and commonality of the phrase. Overall, the risk is high due to the ease of exploitation."
Iseebiz,iseebiz feeder,Home services,0.2505573195007547,4,"The invocation name 'iseebiz feeder' is moderately generic, as it could be mistaken for a pet-related service. There is minor ambiguity in the phrase, as it's not immediately clear what 'feeder' refers to. The semantic confusion risk is moderate, as users may confuse this skill with other home services or pet-related skills. Squatting risk is high, as an attacker could easily create a malicious variant like 'isee biz feed me'. Overall risk is high due to the combination of these factors."
Don't waste food,don't waste food,Food and Drink,0.2320267441784867,4,"The invocation name 'don't waste food' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the ambiguity risk is low due to the specific topic of food waste, there is moderate semantic confusion potential as users may confuse this skill with other related skills (e.g., meal planning). The squatting risk is high as malicious variants could easily imitate this name. Overall, the risk is high due to the combination of genericity and squatting risks."
Boat Shutdown,boat shutdown,productivity,0.2547241513674693,4,"The invocation name 'boat shutdown' is extremely generic and broad, making it easy to mispronounce or paraphrase. While the ambiguity risk is low due to the specific context of a boat-related action, the semantic confusion risk is moderate as users may confuse this skill with other productivity skills that have similar names. The squatting risk is high as attackers can easily create malicious variants like 'boat shutdown now' or 'shutdown my boat'. Overall, the risk is high due to the combination of genericity and squatting risks."
Judge Fite Concierge,judge fite concierge,Home services,0.2204309211573243,3,"The invocation name 'judge fite concierge' is mostly distinctive, but the use of 'concierge' as a service-related term may lead to some semantic confusion with other skills. The risk of squatting is moderate due to the unique combination of words, but it's not extremely easy to imitate. Overall, the risk is moderate due to the potential for semantic confusion and squatting."
Ventura County Information,ventura county,Local,0.2488074663046469,3,"The invocation name 'ventura county' is mostly distinctive, but not extremely unique. While it's unlikely to be confused with other skills due to its specificity, there is a moderate risk of semantic confusion if users mispronounce or paraphrase the name. Squatting potential is low due to the specific geographic reference. Overall, the risk is moderate due to the moderate semantic confusion and squatting risks."
Georgia Tech Traditions,rambling wreck,Local,0.1575054348676564,3,"The invocation name 'rambling wreck' is mostly distinctive, but not extremely unique. While it's unlikely to be confused with other skills due to its specificity, there is a moderate risk of semantic confusion if users mispronounce or paraphrase the name. Squatting potential is low due to the uniqueness of the phrase, but not impossible. Overall, this skill has a moderate risk profile."
Toast,let's have a toast,Novelty and Humor,0.2259249160927914,3,"The invocation name 'let's have a toast' is moderately generic, as it's not extremely unique but still distinct enough to avoid confusion. There is minor ambiguity in the phrase, as users may mispronounce or paraphrase it. The semantic confusion risk is moderate, as the phrase could be confused with other skills that involve celebrations or gatherings. Squatting risk is moderate, as an attacker could create a malicious skill with a similar name and exploit the ambiguity."
6.1.0. jamz,six one zero jams,Music and Audio,0.2302607205063604,3,"The invocation name 'six one zero jams' is mostly distinctive, making it less likely to be confused with other skills. However, the phrase has some semantic similarity to common phrases and song titles, which could lead to moderate confusion potential. The squatting risk is low due to the unique combination of numbers and words. Overall, while there are some risks present, they are not severe enough to warrant a high overall risk score."
NewsTalk 96.3 FM and 1290 AM,newstalk twelve ninety,Music and Audio,0.2033012995491576,3,"The invocation name 'newstalk twelve ninety' is mostly distinctive, with the specific numbers and words making it less likely to be confused with other skills. However, there is a moderate semantic confusion risk due to the possibility of users mispronouncing or abbreviating the name. The squatting risk is low because an attacker would need to create a very similar-sounding invocation name. Overall, while there are some risks present, they are not severe enough to warrant a high overall risk score."
