Skill Name,Invocation Name,Category,baseline_risk_score,llm_composite,llm_reasoning
cricket facts,cricket facts,Game and Trivia,0.8347192633342811,3,"The invocation name 'cricket facts' is quite generic, making it susceptible to confusion with other trivia or sports-related skills. While it has a specific focus on cricket, the commonality of the terms increases the risk of mispronunciation and imitation by malicious actors. Overall, the skill's name presents moderate risks in various dimensions, particularly in genericity and squatting."
Cricket Facts,cricket facts,News,0.8347192633342811,3,"The invocation name 'cricket facts' is quite generic, making it susceptible to confusion with other cricket-related content or skills. While it has some ambiguity, it is primarily focused on cricket, which reduces the risk slightly. However, the ease of imitation and potential for malicious variants is high due to its simplicity and common terminology, leading to a moderate overall risk assessment."
Science Facts,science facts,Kids,0.8196638089637459,3,"The invocation name 'science facts' is quite generic, making it susceptible to confusion with other educational or trivia skills. While it has a clear meaning, the commonality of the terms increases the risk of mispronunciation and similarity to other skills. Additionally, the straightforward nature of the name makes it easier for malicious actors to create similar-sounding variants, raising squatting concerns."
Science facts,science facts,Kids,0.8196638089637459,3,"The invocation name 'science facts' is quite generic, making it susceptible to confusion with other similar skills or content. While it has some ambiguity, it is primarily straightforward. The risk of squatting is high due to its common phrasing, which could allow malicious actors to create similar-sounding skills. Overall, the combination of these factors leads to a moderate overall risk assessment."
Food Fact,food facts,Education & Reference,0.8165623951969438,3,"The invocation name 'food facts' is quite generic, making it susceptible to confusion with other similar skills. While it has some ambiguity, it is primarily straightforward in meaning. The risk of squatting is high due to the commonality of the phrase, which could allow malicious actors to create similar-sounding skills. Overall, the combination of these factors leads to a moderate overall risk assessment."
food facts,food facts,Novelty and Humor,0.8165623951969438,3,"The invocation name 'food facts' is quite generic, making it susceptible to confusion with other similar skills or content. While it has a clear purpose, the commonality of the terms increases the risk of mispronunciation and imitation by malicious actors. Overall, the skill has a moderate risk profile due to its generic nature and potential for squatting."
Food Facts,food facts,Food and Drink,0.8165623951969438,3,"The invocation name 'food facts' is quite generic, which increases the risk of confusion with other similar skills. While it has a clear meaning, the commonality of the terms may lead to mispronunciations or paraphrasing. Additionally, the simplicity of the name makes it susceptible to imitation by malicious actors, raising squatting concerns. Overall, the skill has moderate risks across these dimensions."
Animals 101,animal facts,Kids,0.7854963258966814,3,"The invocation name 'animal facts' is quite generic, making it susceptible to confusion with other skills that may have similar themes. While it is not highly ambiguous, the commonality of the phrase increases the risk of semantic confusion with other skills. Additionally, the simplicity of the name makes it easy for attackers to create similar-sounding variants, raising squatting concerns."
Christmas Facts,christmas facts,Lifestyle,0.7767725529455962,3,"The invocation name 'christmas facts' is quite generic, making it susceptible to confusion with other holiday-related skills. While it has some ambiguity, it is primarily focused on Christmas, which reduces the risk slightly. However, the ease of imitation and potential for malicious variants is high due to its simplicity and common terminology, leading to a moderate overall risk assessment."
Amazing Cat Facts,cat facts,Kids,0.774373982412903,3,"The invocation name 'cat facts' is quite generic, making it susceptible to confusion with other similar skills or content about cats. While it has a clear meaning, the commonality of the phrase increases the risk of mispronunciation and potential imitation by malicious actors. Overall, the skill has a moderate risk profile due to its generic nature and potential for squatting."
