Category,skill_count,mean_baseline,mean_llm_genericity_risk,mean_llm_ambiguity_risk,mean_llm_semantic_confusion,mean_llm_squatting_risk,mean_llm_overall_risk,mean_llm_composite
Communication,67,0.4147886078068626,2.1940298507462686,0.9701492537313433,2.1194029850746268,2.1940298507462686,2.6865671641791047,2.6865671641791047
Social,50,0.4912588136127611,2.24,0.82,1.94,2.1,2.64,2.64
Smart Home,65,0.3908471231184992,1.9230769230769231,0.8615384615384616,1.8461538461538463,2.0307692307692307,2.4461538461538463,2.4461538461538463
Home services,53,0.40504620967051347,1.679245283018868,0.6226415094339622,1.8867924528301887,1.849056603773585,2.3962264150943398,2.3962264150943398
productivity,50,0.5067299679517031,1.94,0.52,1.66,1.74,2.38,2.38
Music and Audio,54,0.45509878565959166,1.5185185185185186,0.5370370370370371,1.6296296296296295,1.6296296296296295,2.314814814814815,2.314814814814815
Connected_car,49,0.3877769905594638,1.5510204081632653,0.5714285714285714,1.6734693877551021,1.6938775510204083,2.306122448979592,2.306122448979592
Shopping,63,0.34165829937924297,1.8412698412698412,0.6984126984126984,1.7301587301587302,1.746031746031746,2.3015873015873014,2.3015873015873014
Utilities,59,0.39623390604922454,1.7118644067796611,0.423728813559322,1.4067796610169492,1.4576271186440677,2.152542372881356,2.152542372881356
Food and Drink,46,0.48626251952489935,1.4782608695652173,0.6521739130434783,1.5217391304347827,1.5434782608695652,2.130434782608696,2.130434782608696
Business & Finance,68,0.4191097590983414,1.5588235294117647,0.5735294117647058,1.4705882352941178,1.5,2.1029411764705883,2.1029411764705883
Kids,52,0.5712839654734106,1.2692307692307692,0.3269230769230769,1.3461538461538463,1.3653846153846154,2.076923076923077,2.076923076923077
Game and Trivia,56,0.5614238547535614,1.3214285714285714,0.4642857142857143,1.3928571428571428,1.3928571428571428,2.0714285714285716,2.0714285714285716
News,45,0.4667087643317519,1.1777777777777778,0.4444444444444444,1.3111111111111111,1.3777777777777778,2.0,2.0
Travel and Transportation,50,0.41664546640330824,1.22,0.24,1.2,1.18,2.0,2.0
Local,52,0.4293756909293132,1.1730769230769231,0.4423076923076923,1.4038461538461537,1.3846153846153846,1.9807692307692308,1.9807692307692308
Movie and TV,46,0.5168938191076977,1.1956521739130435,0.3695652173913043,1.3478260869565217,1.3043478260869565,1.9565217391304348,1.9565217391304348
Education & Reference,56,0.5721497859103024,1.1964285714285714,0.39285714285714285,1.2321428571428572,1.2321428571428572,1.9285714285714286,1.9285714285714286
Lifestyle,48,0.5035098420337247,1.3125,0.7083333333333334,1.4791666666666667,1.5,1.9166666666666667,1.9166666666666667
Novelty and Humor,56,0.5563463156141516,1.0714285714285714,0.5,1.3392857142857142,1.3571428571428572,1.8928571428571428,1.8928571428571428
Sports,46,0.5220496719458685,1.0,0.3695652173913043,1.2608695652173914,1.1521739130434783,1.8478260869565217,1.8478260869565217
Health and Fitness,61,0.44240150284945023,1.1311475409836065,0.3442622950819672,1.2459016393442623,1.2295081967213115,1.7868852459016393,1.7868852459016393
weather,52,0.4231768078189178,0.5961538461538461,0.46153846153846156,1.1346153846153846,1.0769230769230769,1.4807692307692308,1.4807692307692308
